name,name_english,category,price,energy,protein,fat,carbohydrates,salt,calcium,vegetable,iron,vitamin_a,vitamin_b1,vitamin_b2,vitamin_c,place_of_origin,allergic_substance,rate_good,rate_normal,rate_bad,image
冷やし鶏天タルタルうどん,Cold whitewheat noodles with fried chicken in Japanese soup and tartarsauce,noodle,396,547,18.1,15.4,83.8,5.0,31,5,1.0,36,0.15,0.13,5,うどん (国産) 鶏肉 (中国) ,egg wheat milk mackerel chicken soybean,0,0,0,https://west2-univ.jp/menu_img/png_sp/819512.png
冷やし鶏天タルタルそば,Cold buckwheat noodles with fried chicken in Japanese soup and tartarsauce,noodle,396,522,23.3,15.8,71.3,4.6,36,5,2.3,36,0.25,0.16,5,そば (国産) 鶏肉 (中国) ,egg wheat milk buckwheat mackerel chicken soybean,0,0,0,https://west2-univ.jp/menu_img/png_sp/819513.png
冷やしうどん,Cold whitewheat noodles in Japanese soup,noodle,352,341,8.7,1.4,73.8,3.9,31,5,0.8,29,0.06,0.08,4,うどん (国産) ,wheat mackerel soybean,137,1,1,https://west2-univ.jp/menu_img/png_sp/819354.png
冷やしそば,Cold buckwheat noodles in Japanese soup,noodle,352,331,14.8,2.1,63.9,3.1,31,5,1.7,29,0.11,0.09,4,そば (国産) ,egg wheat buckwheat mackerel soybean,118,1,1,https://west2-univ.jp/menu_img/png_sp/819355.png
胡麻チゲ冷麺,Cold noodle with Korean stew and white sesame seeds and steam chicken,noodle,506,525,25.9,12.7,78.6,6.5,79,10,2.5,99,0.20,0.33,2,中華麺 (国産) 鶏肉 (中国) 鶏卵 (国産) ,egg wheat chicken soybean sesame seafood,5,1,0,https://west2-univ.jp/menu_img/png_sp/819429.png
焼き鳥丼 (中),Bowl of rice with stir fried chicken and boiled egg topped with Japanese sauce,bowl,495,676,24.8,13.7,116.3,3.5,24,5,1.0,61,0.17,0.30,8,米 (国産) 鶏肉 (中国) 鶏卵 (国内加工) ,egg wheat milk chicken soybean apple gelatin,0,0,1,https://west2-univ.jp/menu_img/png_sp/819178.png
塩だれカツ丼 (中),Bowl of rice with fried pork cutlet with salt based sauce,bowl,440,726,18.2,24.9,110.4,2.4,34,30,0.8,27,0.38,0.11,14,米 (国産) 豚肉 (チリ、メキシコ、その他) ,egg wheat milk pork soybean sesame,1,0,0,https://west2-univ.jp/menu_img/png_sp/819934.png
ロースカツカレー (中),Curry rice with fried pork cutlet,bowl,440,847,21.7,30.3,123.9,4.4,43,12,1.6,56,0.40,0.12,1,米 (国産) 豚肉 (チリ、メキシコ、その他) ,egg wheat milk beef pork chicken soybean,15,8,1,https://west2-univ.jp/menu_img/png_sp/819253.png
カレーライス (中),Curry rice,bowl,319,566,10.5,10.6,109.9,3.8,37,12,1.3,53,0.09,0.06,1,米 (国産) じゃが芋 (国産) 人参 (国産) ,wheat beef pork chicken soybean,18,25,4,https://west2-univ.jp/menu_img/png_sp/819272.png
生チョコケーキ,Raw chocolate cake,desert,176,98,1.5,5.9,9.6,0.0,16,0,0.3,32,0.02,0.05,0,ホイップクリーム (国産) ,egg wheat milk soybean,1,0,1,https://west2-univ.jp/menu_img/png_sp/814845.png
フルーツヨーグルト,Yogurt with peach pineapple orange,desert,132,78,2.7,2.2,12.9,0.1,89,0,0.1,29,0.04,0.10,20,生乳 (国産) みかん (中国) 黄桃 (中国) ,milk peach,49,17,11,https://west2-univ.jp/menu_img/png_sp/814808.png
ブルーベリーのタルト,Blue berry tart,desert,88,87,0.6,3.8,13.1,0.0,63,0,4.7,0,0.01,0.00,37,米粉 (国産) 豆乳 (国産) ,soybean,1,0,0,https://west2-univ.jp/menu_img/png_sp/814897.png
大学芋,Fried sweetpotato with sugar,desert,110,157,0.6,3.2,31.7,0.0,15,0,0.3,1,0.05,0.03,10,さつま芋 (国産) ,,138,19,8,https://west2-univ.jp/menu_img/png_sp/814817.png
ライス特 (大),Boiled rice,rice,209,718,11.5,1.4,170.7,0.0,14,0,0.5,0,0.09,0.05,0,米 (国産) ,,2,0,2,https://west2-univ.jp/menu_img/png_sp/814700.png
ライス (大),Boiled rice,rice,147,484,7.8,0.9,115.0,0.0,9,0,0.3,0,0.06,0.03,0,米 (国産) ,,4,0,0,https://west2-univ.jp/menu_img/png_sp/814701.png
ライス (中),Boiled rice,rice,126,374,6.0,0.7,89.0,0.0,7,0,0.2,0,0.05,0.02,0,米 (国産) ,,9,1,3,https://west2-univ.jp/menu_img/png_sp/814702.png
ライス (小),Boiled rice,rice,105,265,4.3,0.5,63.1,0.0,5,0,0.2,0,0.03,0.02,0,米 (国産) ,,2,0,0,https://west2-univ.jp/menu_img/png_sp/814703.png
ライス (ミニ),Boiled rice,rice,84,156,2.5,0.3,37.1,0.0,3,0,0.1,0,0.02,0.01,0,米 (国産) ,,5,2,2,https://west2-univ.jp/menu_img/png_sp/814704.png
